"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"1","Malvales","Malvaceae","Abelmoschus","Species_all_Abelmoschus manihot","Hermaphrodite","self_compatible","high",20.9078233587389,"Open","actinomorphic",50,1,14,14,5.5,6,105,"shrub","Perennial",2
"2","Malvales","Malvaceae","Abutilon","Species_all_Abutilon depauperatum","Hermaphrodite","self_compatible","high",21.6244928719981,"Campanulate","actinomorphic",50,5,15,15,15,4,30,"shrub","Perennial",1.75
"3","Malvales","Malvaceae","Abutilon","Species_all_Abutilon theophrasti","Hermaphrodite","self_compatible","high",23.2464532148978,"Open","actinomorphic",50,5,12.5,12.5,2.5,4,34,"herb","Short lived",1.25
"4","Fabales","Fabaceae","Acacia","Species_all_Acacia dealbata","Hermaphrodite","partially_self_compatible","low",0.4,"Brush","actinomorphic",65000,150,40,5.75,5.75,3.5,13,"tree","Perennial",8.5
"5","Fabales","Fabaceae","Acacia","Species_all_Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",17.9788331375704,"Tube","actinomorphic",5000,5,40,7.74500661275706,2.1,3.5,12,"tree","Perennial",5
"6","Fabales","Fabaceae","Acacia","Species_all_Acacia rorudiana","Hermaphrodite","self_incompatible","none",19.9397683375243,"Tube","actinomorphic",5000,20,40,6,2.35,7,16,"shrub","Perennial",3.1
"7","Lamiales","Verbenaceae","Acantholippia","Species_all_Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",20.9637472261301,"Tube","actinomorphic",10000,50,24,6,3,3,2,"shrub","Perennial",0.45
"8","Sapindales","Sapindaceae","Acer","Species_all_Acer carpinifolium","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,100,40,9.1,2.1,2,4,"tree","Perennial",6.5
"9","Sapindales","Sapindaceae","Acer","Species_all_Acer caudatifolium","Hermaphrodite","dioecious","none",0,"Open","actinomorphic",5000,15,20,5,5,1,8,"tree","Perennial",6.1
"10","Sapindales","Sapindaceae","Acer","Species_all_Acer negundo","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,15,20,5.6,5.1,6.65,4,"tree","Perennial",8
"11","Sapindales","Sapindaceae","Acer","Species_all_Acer saccharinum","Monoecious","monoecious","none",0,"Open","actinomorphic",10000,15,20,2.5,3,5,4,"tree","Perennial",28
"12","Asterales","Asteraceae","Achillea","Species_all_Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"13","Asterales","Asteraceae","Achillea","Species_all_Achillea wilsoniana","Hermaphrodite","self_incompatible","none",13.5289287210501,"Capitulum","actinomorphic",800,800,6,6,4,3,15,"herb","Perennial",0.65
"14","Caryophyllales","Amaranthaceae","Achyranthes","Species_all_Achyranthes bidentata","Hermaphrodite","self_compatible","none",22.2052631561855,"Tube","actinomorphic",100,25,15,1.5,5,1.5,1,"herb","Perennial",0.95
"15","Apiales","Apiaceae","Aciphylla","Species_all_Aciphylla glacialis","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,200,200,2.25,0.5,1,2,"herb","Perennial",0.425
"16","Apiales","Apiaceae","Aciphylla","Species_all_Aciphylla scott-thomsonii","Dioecious","dioecious","none",0,"Open","actinomorphic",50,50,150,2.25,0.5,0.5,2,"herb","Perennial",0.5
"17","Apiales","Apiaceae","Aciphylla","Species_all_Aciphylla simplicifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1000,200,1.75,0.4,1,2,"herb","Perennial",0.3
"18","Apiales","Apiaceae","Aciphylla","Species_all_Aciphylla subflabellata","Dioecious","dioecious","none",0,"Open","actinomorphic",500,500,150,1.75,0.4,0.5,2,"herb","Perennial",0.25
"19","Ranunculales","Ranunculaceae","Aconitum","Species_all_Aconitum piepunense","Hermaphrodite","self_compatible","high",24.6498334966565,"Open","zygomorphic",50,50,23,13,7.5,2.5,58,"herb","Perennial",1.22576646325676
"20","Ericales","Ericaceae","Acrothamnus","Species_all_Acrothamnus montanus","Hermaphrodite","self_compatible","none",18.9223409635463,"Tube","actinomorphic",750,20,20,2.5,2.75,0.55,4,"shrub","Perennial",0.35
"21","Ranunculales","Ranunculaceae","Actaea","Species_all_Actaea rubra","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",250,40,20,5,31.12,1.5,22,"herb","Perennial",0.6
"22","Ranunculales","Ranunculaceae","Actaea","Species_all_Actaea yunnanensis","Hermaphrodite","self_compatible","none",19.3366046952056,"Open","actinomorphic",60,60,20,8,9.40923334033291,1.5,1,"herb","Perennial",0.9
"23","Ericales","Actinidiaceae","Actinidia","Species_all_Actinidia arguta","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,45,16,5,6.5,600,"vine","Perennial",4
"24","Ericales","Actinidiaceae","Actinidia","Species_all_Actinidia rufa","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,12.5,12.5,5,3,600,"shrub","Perennial",7
"25","Asterales","Campanulaceae","Adenophora","Species_all_Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,30,12.5,12.5,14,20,152,"herb","Perennial",0.75
"26","Asterales","Campanulaceae","Adenophora","Species_all_Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,10,20,20,18.44,20,193,"herb","Perennial",0.45
"27","Asterales","Campanulaceae","Adenophora","Species_all_Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,100,35,35,20.59,24,356,"herb","Perennial",0.9
"28","Asterales","Asteraceae","Adenostyles","Species_all_Adenostyles alpina","Hermaphrodite","self_incompatible","none",15.8606381732158,"Capitulum","actinomorphic",200,100,100,12.1,8,15,8,"herb","Perennial",0.95
