"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Abelmoschus manihot","Hermaphrodite","self_compatible","high",2.58618110283423,"Open","actinomorphic",-0.231427394739653,-0.168277095490959,-0.610900525268575,-0.0701601328121495,-0.317232496408074,-0.0550851502885664,-0.0658954789580609,"shrub","Perennial",-0.011354093408027,"yes",1
"Abutilon depauperatum","Hermaphrodite","self_compatible","high",2.58618110283423,"Campanulate","actinomorphic",-0.231427394739653,-0.158437941734724,-0.588568222924036,-0.0208432468794881,0.236133395456771,-0.276910413306325,-0.110021807508631,"shrub","Perennial",-0.082506990284277,"yes",1
"Abutilon theophrasti","Hermaphrodite","self_compatible","high",2.58618110283423,"Open","actinomorphic",-0.231427394739653,-0.158437941734724,-0.644398978785382,-0.144135461711142,-0.491979620154868,-0.276910413306325,-0.107668403319267,"herb","Short lived",-0.224812784036777,"yes",1
"Acacia dealbata","Hermaphrodite","partially_self_compatible","low",-0.698362210758381,"Brush","actinomorphic",7.30265352922474,0.198231381928822,-0.0302606643105785,-0.477024441756606,-0.302670236095841,-0.332366729060765,-0.120023775313427,"tree","Perennial",1.83862122537447,"yes",2
"Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.342763530181421,-0.158437941734724,-0.0302606643105785,-0.291364860052361,-0.51527923665444,-0.332366729060765,-0.120612126360768,"tree","Perennial",0.842480669106973,"yes",3
"Acacia rorudiana","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.342763530181421,-0.12154111514884,-0.0302606643105785,-0.46469522027344,-0.500716976342207,0.055827481220313,-0.118258722171404,"shrub","Perennial",0.301718652847473,"yes",3
"Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.922754363435031,-0.0477474619770716,-0.387577501823192,-0.46469522027344,-0.462855099530402,-0.387823044815205,-0.126495636834177,"shrub","Perennial",-0.452502054040777,"yes",3
"Acer carpinifolium","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",2.08273602994225,0.0752419599758753,-0.0302606643105785,-0.31181287388219,-0.51527923665444,-0.498735676324084,-0.125318934739495,"tree","Perennial",1.26939805036447,"yes",4
"Acer caudatifolium","Hermaphrodite","dioecious","none",-0.71336012543232,"Open","actinomorphic",0.342763530181421,-0.133840057344134,-0.476906711201345,-0.514012106206102,-0.34635701703254,-0.609648307832964,-0.122965530550132,"tree","Perennial",1.15555341536247,"no",2
"Acer negundo","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",1.50274519668864,-0.133840057344134,-0.476906711201345,-0.484421974646505,-0.340532112907647,0.0170080601922052,-0.125318934739495,"tree","Perennial",1.69631543162197,"no",4
