"","X","Plant_species","bee_family","Id","Interaction","Z_scores"
"1",1,"Aetheorrina bulbosa","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",4,-0.0703040901015996
"2",3,"Aetheorrina bulbosa","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"3",7,"Aetheorrina bulbosa","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",2,-0.351520450507998
"4",11,"Alyssum maritimum","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"5",14,"Alyssum maritimum","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"6",15,"Alyssum maritimum","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"7",16,"Carpobrotus affinis","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",3,-0.210912270304799
"8",17,"Carpobrotus affinis","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
"9",19,"Carpobrotus affinis","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",9,0.632736810914397
"10",20,"Carpobrotus affinis","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",8,1.08154782612726
"11",21,"Carpobrotus affinis","Apidae","1_4_bartomeus_spain_2008_medca_2_3.csv",6,0.644510603570621
"12",25,"Carpobrotus affinis","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"13",26,"Carpobrotus affinis","Halictidae","1_3_bartomeus_spain_2008_medca_1_2.csv",3,-0.124231844892996
"14",28,"Carpobrotus affinis","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",7,0.351520450507998
"15",29,"Carpobrotus affinis","Megachilidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
"16",30,"Carpobrotus affinis","Megachilidae","1_4_bartomeus_spain_2008_medca_2_3.csv",1,-1.04000574667078
"17",33,"Convolvulus althaeoides","Andrenidae","1_5_bartomeus_spain_2008_miqop_1_2.csv",1,-0.562339917807005
"18",41,"Convolvulus althaeoides","Halictidae","1_2_bartomeus_spain_2008_fraop_1_2.csv",2,-0.415306747138576
"19",42,"Convolvulus althaeoides","Halictidae","1_5_bartomeus_spain_2008_miqop_1_2.csv",1,-0.562339917807005
"20",47,"Euphorbea segatalis","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"21",59,"Lathirus clymenum","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",3,-0.210912270304799
"22",60,"Lathirus clymenum","Megachilidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
"23",61,"Lavandula stoechas","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",2,-0.351520450507998
"24",62,"Lavandula stoechas","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
"25",67,"Lavandula stoechas","Andrenidae","12_13_bartomeus_spain_2008_Pinodelcuervo_unp.csv",2,-0.319681153959862
"26",71,"Lavandula stoechas","Andrenidae","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",1,-0.390525153462856
"27",75,"Lavandula stoechas","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",11,0.913953171320795
"28",76,"Lavandula stoechas","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",11,1.80501562873941
"29",77,"Lavandula stoechas","Apidae","1_4_bartomeus_spain_2008_medca_2_3.csv",8,1.31831714366718
"30",78,"Lavandula stoechas","Apidae","12_1_bartomeus_spain_2008_Aznalcazar_unp.csv",17,0.0160573990776384
"31",79,"Lavandula stoechas","Apidae","12_10_bartomeus_spain_2008_Lasmulas_unp.csv",53,0.745452464127058
"32",80,"Lavandula stoechas","Apidae","12_11_bartomeus_spain_2008_Niebla_unp.csv",1,-0.661698571871605
"33",81,"Lavandula stoechas","Apidae","12_13_bartomeus_spain_2008_Pinodelcuervo_unp.csv",256,3.32027460595553
"34",82,"Lavandula stoechas","Apidae","12_14_bartomeus_spain_2008_Urbanizaciones_unp.csv",7,-0.180980209092894
"35",83,"Lavandula stoechas","Apidae","12_16_bartomeus_spain_2008_Villamanriquesur_unp.csv",34,0.749978664997791
"36",84,"Lavandula stoechas","Apidae","12_2_bartomeus_spain_2008_ConventodelaLuz_unp.csv",38,-0.272587766053148
"37",85,"Lavandula stoechas","Apidae","12_3_bartomeus_spain_2008_Bonares_unp.csv",71,2.18056072190636
"38",86,"Lavandula stoechas","Apidae","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",107,3.27031608103929
"39",87,"Lavandula stoechas","Apidae","12_5_bartomeus_spain_2008_Elpinar_unp.csv",8,-0.346051479200209
"40",88,"Lavandula stoechas","Apidae","12_7_bartomeus_spain_2008_Esparragal_unp.csv",9,0.366259937016615
"41",97,"Lavandula stoechas","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",7,0.351520450507998
"42",98,"Lavandula stoechas","Halictidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
"43",107,"Lavandula stoechas","Halictidae","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",1,-0.390525153462856
"44",110,"Lavandula stoechas","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",36,4.42915767640078
"45",111,"Lavandula stoechas","Megachilidae","1_3_bartomeus_spain_2008_medca_1_2.csv",3,-0.124231844892996
"46",112,"Lavandula stoechas","Megachilidae","1_4_bartomeus_spain_2008_medca_2_3.csv",2,-0.703102476622496
"47",119,"Lavandula stoechas","Megachilidae","12_9_bartomeus_spain_2008_LaRocina_unp.csv",3,-0.460611480019365
"48",122,"Lavandula stoechas","Melittidae","12_13_bartomeus_spain_2008_Pinodelcuervo_unp.csv",3,-0.305350619472006
"49",126,"Lavandula stoechas","Melittidae","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",1,-0.390525153462856
"50",129,"Sonchus tenerrinus","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",9,0.632736810914397
"51",130,"Sonchus tenerrinus","Andrenidae","1_2_bartomeus_spain_2008_fraop_1_2.csv",15,1.57379398915671
"52",131,"Sonchus tenerrinus","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",8,1.08154782612726
"53",132,"Sonchus tenerrinus","Andrenidae","1_4_bartomeus_spain_2008_medca_2_3.csv",12,2.6659302238603
"54",133,"Sonchus tenerrinus","Andrenidae","1_5_bartomeus_spain_2008_miqop_1_2.csv",6,0.241002821917288
"55",134,"Sonchus tenerrinus","Andrenidae","1_6_bartomeus_spain_2008_selop_1_2.csv",1,-0.632751187148554
"56",135,"Sonchus tenerrinus","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.492128630711197
"57",136,"Sonchus tenerrinus","Apidae","1_2_bartomeus_spain_2008_fraop_1_2.csv",5,0.0437164996987974
"58",137,"Sonchus tenerrinus","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1,-0.606543713301097
