"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"1","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",18.9463168580227,"Tube","actinomorphic",10000,33,24,6,3,3,2,"shrub","Perennial",0.45
"2","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",18.9463168580218,"Tube","actinomorphic",10000,33,24,6,3,3,2,"shrub","Perennial",0.45
"3","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",18.9463168580238,"Tube","actinomorphic",10000,33,24,6,3,3,2,"shrub","Perennial",0.45
"4","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"5","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"6","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"7","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"8","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"9","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"10","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"11","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"12","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"13","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"14","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,20,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
