"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"10","Adenophora capillaris",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","bisexual","hermaphrodite","low","quantitative","8","0.08",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","12.5",12.5,"NA","NA","14","10","18","NA","20","15","25","NA","NA",152,"NA","NA","NA","NA","herb","perennial","0.5","1",0.75,"liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",81,-0.0129387043402479,"Adenophora capillaris"
"11","Adenophora jasionifolia",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","bisexual","hermaphrodite","low","quantitative","12","0.12",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","20",20,"NA","NA","18.440000000000001","NA","NA","NA","20","NA","NA","NA","NA",194.5,"193","196","NA","NA","herb","perennial","NA","0.9",0.45,"liu & huang 2013; liu & huang 2012","journal: oecologia *autogamy*, *flower size*; journal: journal of systematics and evolution","10.1007/s00442-013-2723-7","10.1111/j.1759-6831.2011.00175.x","NA","NA","NA","5_1_fang_2008_china.csv",96,0.18114186076347,"Adenophora jasionifolia"
"12","Adenophora khasiana",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","bisexual","hermaphrodite","low","quantitative","12","0.12",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","35",35,"NA","NA","20.59","NA","NA","NA","24","NA","NA","NA","NA",356,"NA","NA","NA","NA","herb","perennial","0.6","1.2",0.9,"liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",90,0.103509634721983,"Adenophora khasiana"
"14","Aetheorrina bulbosa",0,"bartomeus_2008","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","bisexual","hermaphrodite","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20",20,"NA","NA","5","NA","NA","NA","6","5","7","NA","NA",15,"6","24","NA","NA","herb","perennial","0.15","0.45",0.45,"goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research","https://doi.org/10.2307/2399735","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","1_1_bartomeus_spain_2008_batca_1_2.csv",32,0.281796026818899,"Eleutherine bulbosa"
"15","Aetheorrina bulbosa",0,"bartomeus_2008","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","bisexual","hermaphrodite","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20",20,"NA","NA","5","NA","NA","NA","6","5","7","NA","NA",15,"6","24","NA","NA","herb","perennial","0.15","0.45",0.45,"goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research","https://doi.org/10.2307/2399735","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",2,-0.772104708455992,"Eleutherine bulbosa"
"17","Agrimonia pilosa",0,"fang_2008","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","self_compatible","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","7.5",7.5,"6","9","1","NA","NA","NA","NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.3","1.2",0.75,"macroberts & macroberts 1997; NA; mochizuki et al; 2019","journal: phytologia; online: efloras.org; journal: aobplants","NA","NA","https://doi.org/10.1093/aobpla/plz061","NA","NA","5_1_fang_2008_china.csv",19,-0.815138373435615,"Agrimonia pilosa"
"18","Ajuga forrestii",0,"fang_2008","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","stolons","NA","yellow","tube","zygomorphic","9",9,"NA","NA","8.1","7","11","NA","NA","NA","NA","NA","NA",4,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.06","0.3",0.18,"NA; NA; NA","online: http://www.plantsoftheworldonline.org/ *life form*; online: http://midatlanticherbaria.org/ *ovule number*; online: http://www.efloras.org/ *flower size*","NA","NA","NA","NA","NA","5_1_fang_2008_china.csv",329,3.19585997204122,"Ajuga forrestii"
"19","Allium ampeloprasum",0,"bartomeus_2008","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","bisexual","hermaphrodite","low","quantitative","20","NA","NA","self_compatible","guenaoui et al., 2013","journal: genetic resources and crop evolution","10.1007/s10722-012-9819-5","NA","flower","NA","NA","NA","pink","bowl","actinomorphic","6",6,"NA","NA","5","4","6","NA","3.5","3","4","NA","NA",6,"NA","NA","NA","NA","herb","perennial","NA","NA",1.25,"NA; khorasani, mhervarz & zarre 2018; NA; NA","online: http://w3.biosci.utexas.edu/; journal: nova biologica reperta; online: https://uses.plantnet-project.org/; online: https://foodb.ca/","NA; https://doi.org/10.29252/nbr.5.3.299; NA; NA",NA,NA,NA,NA,"1_2_bartomeus_spain_2008_fraop_1_2.csv",1,-0.893694537154114,"Allium ampeloprasum"
"20","Allium atrosanguineum",0,"fang_2008","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","5.25","3.5","7","NA","NA",6,"NA","NA","NA","NA","herb","perennial","NA","0.6",0.3,"NA; NA","online: http://efloras.org/; online: http://swbiodiversity.org/ *ovule number*","NA","NA","NA","NA","NA","5_1_fang_2008_china.csv",10,-0.931586712497846,"Allium atrosanguineum"
"21","Allium cyathophorum",0,"fang_2008","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.1,"NA","NA","NA","20","herb","perennial","0.15","0.3",225,"gao, xiong & huang 2015","journal: journal plant of ecology","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","NA","5_1_fang_2008_china.csv",7,-0.97040282551859,"Allium cyathophorum"
