Period,Site,NetworkID,Insect code,Alstonia macrophylla,Aphloia theiformis,Campnosperma seychellarum,Canthium bibracteatum,Chrysobalanus icaco,Cinnamomum verum,Colea seychellarum,Craterispermum microdon,Deckenia nobilis,Dillenia ferruginea,Dillenia suffruticosa,Diospyros seychellarum,Dracaena reflexa,Erythroxylum sechellarum,Euphorbia pyrifolia,Excoecaria benthiamiana,Gastonia crassa,Glionnetia sericea,Ixora pudica,Medusagyne oppositifolia,Melastoma malabathricum,Memecylon eleagni,Mimusops sechellarum,Nepenthes pervillei,Nephrosperma vanhoutteanum,Northea hornei,Ochna kirkii,Paragenipa wrightii,Paraserianthes falcataria,Phoenicophorium borsigianum,Pittosporum senacia,Premna serratifolia,Psidium cattleianum,Psychotria pervillei,Roscheria melanochaetes,Soulamea terminaloides,Syzygium wrightii,Timonius sechellensis
Sep-07,Ber,Ber1,C10,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,2,,
Sep-07,Ber,Ber1,C12,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
Sep-07,Ber,Ber1,C14,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Sep-07,Ber,Ber1,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sep-07,Ber,Ber1,C22,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sep-07,Ber,Ber1,C3,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Sep-07,Ber,Ber1,C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
Sep-07,Ber,Ber1,HB,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,22,,,,,,,,,,
Sep-07,Ber,Ber1,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sep-07,Ber,Ber1,Polistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sep-07,Ber,Ber1,T17,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Sep-07,Ber,Ber1,Xylocopa,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Sep-07,Cas,Cas1,C10,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,
Sep-07,Cas,Cas1,C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Sep-07,Cas,Cas1,C19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Sep-07,Cas,Cas1,C3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
Sep-07,Cas,Cas1,C50,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,C9,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,D8,,,,,,8,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,HB,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,T19,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,T5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Cas,Cas1,No visitors,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,C14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,C25,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,C3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,
Sep-07,Cop,Cop1,C9,,,,,,1,,,,6,,,,11,,,,,,,,3,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,D25,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,HB,,,,,,,,3,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,Phelsuma,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,Sunbird,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,T17,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,T18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Sep-07,Cop,Cop1,T19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Sep-07,Cop,Cop1,T5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Cop,Cop1,T8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C16,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C4,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,C9,,,,9,,1,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,
Sep-07,Res,Res1,HB,,,,7,,2,,,,,,,,,,,,,,,,7,,,,,3,3,,,,,,,,,,
Sep-07,Res,Res1,Phalanta,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,Sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Sep-07,Res,Res1,T17,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Sep-07,Res,Res1,Xylocopa,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,
Sep-07,Tea,Tea1,HB,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,Polistes,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,T12,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,T16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,T19,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,T5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tea,Tea1,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Sep-07,Tro,Tro1,C10,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,
Sep-07,Tro,Tro1,C3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Sep-07,Tro,Tro1,C9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,D12,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,HB,,,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,J10,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,J11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sep-07,Tro,Tro1,T5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C10,,,,,,,,,,,,,,,,,,,,5,,,1,,6,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C12,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C14,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C28,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C29,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C3,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C40,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Oct-07,Ber,Ber2,C9,,,,,,,,,,,,,,3,,,,,,,,,3,,2,,,,,,,,,,,,,
Oct-07,Ber,Ber2,HB,,,,,,,,,,,,,,10,,,,,,12,,5,9,,15,,,,,,,,,,,,,
Oct-07,Ber,Ber2,J11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Oct-07,Ber,Ber2,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Oct-07,Ber,Ber2,Sunbird,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Oct-07,Ber,Ber2,T18,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,
Oct-07,Ber,Ber2,T19,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
