"","Cenophodes tamsi","Ceratina tabescens","Chalcidoma disjunctum","Curculionidae sp12","Dermestidae sp1","Dermestidae sp2","Dichaetomyia fasciculifera","Eagris sabadius maheta","Fly sp13","Fly sp16","Fly sp18","Fly sp2","Fly sp21","Fly sp26","Fly sp29","Fly sp4","Forcipomyia (Euprojoannisia) sp1","Hymenoptera sp4","Leptotes pirithous","Melanostoma annulipes","Mordellidae sp11","Neavella albipectus","Nitidulidae sp1","Pachycerina seychellensis","Parasarcophaga hirticeps","Scaptodrosophila undet sp1","Tricimba seychellensis","Xylocopa caffra"
"Canthium.bibracteatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"Chrysobalanus.icaco",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia.suffruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"Erythroxylum.sechellarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Excoecaria.benthiamiana",0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon.eleagni",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes.pervillei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Nephrosperma.vanhoutteanum",0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
"Paragenipa.wrightii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium.borsigianum",0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"Roscheria.melanochaetes",0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,2,0,3,0,0,2,1,0,0,0,0,0,0
"Soulamea.terminaloides",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
