Plant species name,Family,Plant species ID,Origin
Alstonia macrophylla,Apocynaceae,Alstonia,Exotic
Aphloia theiformis,Flacourtiaceae,Aphloia,Native
Campnosperma seychellarum,Anacardiaceae,Campnosperma,Endemic
Pyrostria bibracteata,Rubiaceae,Canthium_b,Endemic
Peponidium carinatum,Rubiaceae,Canthium_c,Endemic
Chrysobalanus icaco,Chrysobalanaceae,Chrysobalanus,Exotic
Cinnamomum verum,Lauraceae,Cinnamomum,Exotic
Colea seychellarum,Bignoniaceae,Colea,Endemic
Craterispermum microdon,Rubiaceae,Craterispermum,Endemic
Deckenia nobilis,Palmae,Deckenia,Endemic
Dillenia ferruginea,Dilleniaceae,Dillenia,Endemic
Dracaena reflexa,Dracenaceae,Dracaena,Native
Erythroxylum sechellarum,Erythroxylaceae,Erythroxylum,Endemic
Excoecaria benthamiana,Euphorbiaceae,Excoecaria,Endemic
Glionnetia sericea,Rubiaceae,Glionnetia,Endemic
Ixora pudica,Rubiaceae,Ixora,Endemic
Medusagyne oppositifolia,Medusagynaceae,Medusagyne,Endemic
Memecylon elaeagni,Melastomataceae,Memecylon,Endemic
Mimusops sechellarum,Sapotaceae,Mimusops,Endemic
Nepenthes pervillei,Nepenthaceae,Nepenthes,Endemic
Nephrosperma vanhoutteanum,Palmae,Nephrosperma,Endemic
Northea seychellana,Sapotaceae,Northea,Endemic
Ochna kirkii,Ochnaceae,Ochna,Exotic
Paragenipa lancifolia,Rubiaceae,Paragenipa,Endemic
Phoenicophorium borsigianum,Palmae,Phoenicophorium,Endemic
Pittosporum senacia,Pittosporaceae,Pittosporum,Native
Polyscias crassa,Araliaceae,Polyscias,Endemic
Premna serratifolia,Lamiaceae,Premna,Native
Psidium cattleianum,Myrtaceae,Psidium,Exotic
Psychotria pervillei,Rubiaceae,Psychotria,Endemic
Roscheria melanochaetes,Palmae,Roscheria,Endemic
Soulamea terminalioides,Simaroubaceae,Soulamea,Endemic
Syzygium jambos,Myrtaceae,Syzygium_j,Exotic
Syzygium wrightii,Myrtaceae,Syzygium_w,Endemic
Timonius flavescens,Rubiaceae,Timoneus,Endemic
