"","Adela cuprella","Adela reaumurella","Adia cinerella","Adscita statices","Alliopsis billbergi","Amauronematus Konow","Ammophila pubescens","Anarta myrtilli","Ancistrocerus oviventris","Andrena barbilabris","Andrena carantonica","Andrena clarkella","Andrena fulva","Andrena fuscipes","Andrena haemorrhoa","Andrena lapponica","Andrena nigroaenaea","Andrena praecox","Andrena tarsata","Aphantopus hyperanthus","Apis mellifera","Aplotarsus incanus","Athous subfuscus","Autographa bractea","Bellardia viarum","Bibio lanigerus","Bombus  sylvestris","Bombus bohemicus","Bombus hypnorum","Bombus jonellus","Bombus lucorum","Bombus pascuorum","Bombus pratorum","Bombus rupestris","Bombus sylvestris","Bombus terrestris","Bruchidius ater","Calameuta pallipes","Callophrys rubi","Cantharis obscura","Cerceris arenaria","Cheilosia albipila","Cheilosia bergenstammi","Cheilosia gigantea","Cheilosia pagana","Cheilosia psilophthalma","Chrysogaster virescens","Chrysotoxum bicinctum","Chrysotoxum fasciatum","Coenonympha pamphilus","Coenosia femoralis","Coenosia means","Colletes cunicularius","Colletes succinctus","Conops quadrifasciatus","Coranarta cordigera","Cryptocephalus aureolus","Dasysyrphus albostriatus","Dasysyrphus hilaris","Dasysyrphus tricinctus","Dasytes plumbeus","Delia florilega","Dilophus febrilis","Dilophus humeralis","Dolichovespula saxonica","Ectobius sylvestris","Egle brevicornis","Ematurga atomaria","Empis aestiva","Empis chioptera","Empis sp.","Empis tessellata","Episyrphus balteatus","Eriothrix rufomaculatus","Eristalinus sepulchralis","Eristalis abusiva","Eristalis anthophorina","Eristalis arbustorum","Eristalis interrupta","Eristalis intricaria","Eristalis lineata","Eristalis pertinax","Eristalis tenax","Ernestia rudis","Eupeodes corollae","Eupeodes nielseni","Formica fusca","Formica rufa","Formica sanguinea","Gonia picea","Gymnosoma nudifrons","Hedychrum nobile","Helina reversio","Helophilus pendulus","Hercostomus Loew","Hercostomus sp.","Heterostylodes nominabilis","Hydrotaea irritans","Hydrotaea similis","Hylaeus brevicornis","Hylaeus confusus","Ichneumon sp.","Itame brunneata","Lasioglossum albipes","Lasioglossum calceatum","Lasioglossum fratellum","Lasioglossum leucopus","Lasioglossum leucozonium","Lasioglossum punctatissimum","Lasioglossum rufitarse","Lasioglossum sexmaculatum","Lasioglossum sp.","Lasioglossum villosulum","Lasiomma picipes","Lasius niger","Leucozona lucorum","Lucilia bufonivora","Lucilia caesar","Lycaena virgaureae","Lycophotia porphyrea","Macropis europaea","Maniola jurtina","Megasyrphus erraticus","Melanostoma mellinum","Melanostoma scalare","Meligethes aeneus","Meliscaeva cinctella","Melitta haemorrhoidalis","Mellinus arvensis","Miarus campanulae","Micropterix aruncella","Mimesa equestris","Mordella holomelaena","Myopa buccata","Myrmica ruginodis","Nomada leucophthalma","Nomada panzeri","Nomada ruficornis","Nomada rufipes","Nomada sp.","Oedemera lurida","Onesia floralis","Orthonevra geniculata","Panurgus banksianus","Parasyrphus lineolus","Phaonia angelicae","Phaonia incana","Phyllopertha horticola","Pieris napi","Pipiza lugubris","Pipizella viduata","Platycheirus albimanus","Platycheirus peltatus","Pollenia amentaria","Pollenia rudis","Prosena siberita","Prosternon tessellatum","Pyrgus malvae","Rhagonycha fulva","Rhagonycha lignosa","Rhagonycha nigriventris","Rhamphomyia nigripennis","Rhamphomyia sp.","Rhingia campestris","Rhinophora lepida","Sarcophaga aratrix","Sarcophaga carnaria","Sarcophaga sp.","Scaeva pyrastri","Scaeva selenitica","Scathophaga stercoraria","Sciara hemerobioides","Sciara sp.","Sepsis cynipsea","Sericomyia lappona","Sericomyia silentis","Sicus ferrugineus","Sphaerophoria fatarum","Sphaerophoria scripta","Sphaerophoria sp.","Sphecodes geoffrellus","Stenurella melanura","Syritta pipiens","Syrphus ribesii","Syrphus torvus","Syrphus vitripennis","Tachina grossa","Thymelicus lineola","Tricholinum sp.","Vespula rufa","Vespula vulgaris","Volucella bombylans","Zophomyia temula"
"Calluna vulgaris",0,0,0,0,0,0,3,29,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,19,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,0,3,0,2,0,0,3,0,0,0,22,8,0,0,0,0,0,0
"Empetrum nigrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Erica tetralix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,12,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0
"Galium saxatile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Genista anglica",6,0,0,0,0,5,0,0,0,0,0,3,6,0,26,3,0,4,0,0,0,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,9,2,0,0,0,0,0,25,0,23,0,62,0,67,9,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,2,0,0,0,5,0,3,0,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,30,0,0,0,0,0,0,15,0,23,0,0,0,0,15,0,0,21,0,0,8,0,0
"Hieracium umbellatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"Salix repens",0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scorzonera humilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0
