Plant,Order,Family,Species,Functional group,visits,role
Salix repens,Coleoptera,Elateridae,Athous subfuscus (MŸll.),beetle,2,P
Salix repens,Diptera,Anthomyiidae,Adia cinerella (Fall.),S non-syrphid fly,3,P
Vaccinium myrtillus,,,Egle brevicornis (Zett.),S non-syrphid fly,2,P
Vaccinium myrtillus,,,Lasiomma picipes (Mg.),S non-syrphid fly,3,P
Vaccinium myrtillus,,Bibionidae,Bibio lanigerus Mg.,S non-syrphid fly,2,P
Vaccinium myrtillus,,,Dilophus humeralis Zett.,S non-syrphid fly,3,P
Vaccinium myrtillus,,Calliphoridae,Bellardia viarum (Rob.-Desv.),L non-syrphid fly,12,C
Vaccinium myrtillus,,Scathophagidae,Scathophaga stercoraria (L.),L non-syrphid fly,15,C
Vaccinium myrtillus,,Syrphidae,Dasysyrphus albostriatus (Fall.),S syrphid,3,P
Vaccinium myrtillus,,,Orthonevra geniculata (Mg.),S syrphid,2,P
Vaccinium myrtillus,,Tachinidae,Ernestia rudis (Fall.),L non-syrphid fly,2,P
Vaccinium myrtillus,,,Gonia picea Rob.-Desv.,L non-syrphid fly,57,P
Vaccinium myrtillus,,,Gymnosoma nudifrons Hert.,S non-syrphid fly,3,P
Vaccinium myrtillus,Hymenoptera,Andrenidae,Andrena barbilabris (K.),solitary bee,3,P
Vaccinium myrtillus,,,Andrena clarkella (K.),solitary bee,2,P
Vaccinium myrtillus,,,Andrena fulva (MŸll.),solitary bee,16,P
Vaccinium myrtillus,,,Andrena haemorrhoa (F.),solitary bee,31,P
Vaccinium myrtillus,,,Andrena nigroaenaea (K.),solitary bee,2,P
Vaccinium myrtillus,,Apidae,Nomada ruficornis (L.),solitary bee,2,P
Vaccinium myrtillus,,Formicidae,Formica rufa L.,other,2,P
Vaccinium myrtillus,,Halictidae,Lasioglossum sexmaculatum (Schenck),solitary bee,2,P
Vaccinium myrtillus,,,Lasioglossum sp.,solitary bee,2,P
Vaccinium myrtillus,,,Sphecodes geoffrellus K.,solitary bee,2,P
Vaccinium myrtillus,,Vespidae,Vespula vulgaris (L),other,7,P
Vaccinium uliginosum,Diptera,Syrphidae,Megasyrphus erraticus (L.),L syrphid,6,P
V. vitis-idaea,,,Platycheirus albimanus (F.),S syrphid,23,C
V. vitis-idaea,,,Sphaerophoria sp.,S syrphid,25,C
Empetrum nigrum,,,Zophomyia temula (Scop.),L non-syrphid fly,2,P
