"","Species_geonet","Unique_id","Locality","Order_all","Family_all","Genus_all","Species_all","Info_level","yes"
"1","122996","peralta_2011","Mendoza, Argentina","Lamiales","Lamiaceae","Salvia","Salvia cuspidata","flower",NA
"2","Abelmoschus manihot","mcmullen_1993","Galapagos","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot","flower",NA
"3","Abutilon depauperatum","mcmullen_1993","Galapagos","Malvales","Malvaceae","Abutilon","Abutilon depauperatum","flower",NA
"4","Abutilon theophrasti","robertson_1929","Carlinville, Illinois, USA","Malvales","Malvaceae","Abutilon","Abutilon theophrasti","flower",NA
"5","Acacia adealbata","bartomeus_2015","donana np, spain","Fabales","Fabaceae","Acacia","Acacia dealbata","flower",NA
"6","Acacia insulae-iacobi","mcmullen_1993","Galapagos","Fabales","Fabaceae","Acacia","Acacia insulae-iacobi","flower",NA
"7","Acacia macracantha","mcmullen_1993","Galapagos","Fabales","Fabaceae","Vachellia","Vachellia macracantha","flower",NA
"8","Acacia rurodiana","traveset_2013","Galapagos","Fabales","Fabaceae","Acacia","Acacia rorudiana","flower",NA
"9","Acantholippia seriphioides","peralta_2011","Mendoza, Argentina","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","flower","Yes"
"10","Acer carpinifolium","Inouye_1990","Kibune, Kyoto, Japan","Sapindales","Sapindaceae","Acer","Acer carpinifolium","flower",NA
"11","Acer insulae","kato_2000","Amami-Ohsima Island, Japan","Sapindales","Sapindaceae","Acer","Acer caudatifolium","flower",NA
"12","Acer negundo","robertson_1929","Carlinville, Illinois, USA","Sapindales","Sapindaceae","Acer","Acer negundo","flower",NA
"13","Acer saccharinum","robertson_1929","Carlinville, Illinois, USA","Sapindales","Sapindaceae","Acer","Acer saccharinum","flower",NA
"14","Achillea millefolium","arroyo-correa_2019","Craigieburn, New Zealand","Asterales","Asteraceae","Achillea","Achillea millefolium","capitulum","Yes"
"15","Achillea wilsoniana","fang_2008","China","Asterales","Asteraceae","Achillea","Achillea wilsoniana","capitulum","Yes"
"16","Achillea wilsoniana","fang_2008","China","Asterales","Asteraceae","Achillea","Achillea wilsoniana","disc_floret","Yes"
"17","Achillea wilsoniana","fang_2008","China","Asterales","Asteraceae","Achillea","Achillea wilsoniana","ray_floret","Yes"
"18","Achyranthes bidentata","Inouye_1990","Kibune, Kyoto, Japan","Caryophyllales","Amaranthaceae","Achyranthes","Achyranthes bidentata","flower",NA
"19","Aciphylla glacialis","inouye_1988","Snowy Mountains, Australia","Apiales","Apiaceae","Aciphylla","Aciphylla glacialis","flower","Yes"
