"","db","query","order"
"1","ncbi","812","Malpighiales"
"2","ncbi","703",NA
"3","ncbi","703",NA
"4","ncbi","428","Sapindales"
"5","ncbi","2928","Boraginales"
"6","ncbi","518",NA
"7","ncbi","1275","Malvales"
"8","ncbi","1275","Malvales"
"9","ncbi","2929",NA
"10","ncbi","759","Boraginales"
"11","ncbi","3035",NA
"12","ncbi","883","Fabales"
"13","ncbi","626","Gentianales"
"14","ncbi","1559",NA
"15","ncbi","11",NA
"16","ncbi","1953","Caryophyllales"
"17","ncbi","760","Boraginales"
"18","ncbi","2278","Fabales"
"19","ncbi","1958","Caryophyllales"
"20","ncbi","2942","Zygophyllales"
"21","ncbi","1760",NA
"22","ncbi","392",NA
"23","ncbi","2519",NA
"24","ncbi","3132",NA
"25","ncbi","2551",NA
"26","ncbi","740",NA
"27","ncbi","2029","Fabales"
"28","ncbi","802","Fabales"
"29","ncbi","2190","Fabales"
"30","ncbi","2855","Fabales"
"31","ncbi","1479",NA
"32","ncbi","385","Asterales"
"33","ncbi","549","Sapindales"
"34","ncbi","2410","Fabales"
"35","ncbi","1793","Cornales"
"36","ncbi","2586",NA
"37","ncbi","2632",NA
"38","ncbi","131",NA
"39","ncbi","2930",NA
"40","ncbi","2229","Caryophyllales"
"41","ncbi","1736",NA
"42","ncbi","2049","Asterales"
"43","ncbi","1848","Cucurbitales"
"44","ncbi","393","Caryophyllales"
"45","ncbi","1339","Boraginales"
"46","ncbi","2552",NA
"47","ncbi","821",NA
"48","ncbi","353",NA
"49","ncbi","1180","Fabales"
"50","ncbi","2180","Caryophyllales"
"51","ncbi","1845","Caryophyllales"
"52","ncbi","701","Brassicales"
"53","ncbi","1521","Caryophyllales"
"54","ncbi","6",NA
"55","ncbi","2918","Boraginales"
"56","ncbi","133","Caryophyllales"
"57","ncbi","762","Boraginales"
"58","ncbi","1482",NA
"59","ncbi","2917","Boraginales"
"60","ncbi","1846","Caryophyllales"
"61","ncbi","859","Asterales"
"62","ncbi","399",NA
"63","ncbi","199","Crossosomatales"
"64","ncbi","2439","Asterales"
"65","ncbi","1843",NA
"66","ncbi","2920","Sapindales"
"67","ncbi","2812","Malpighiales"
"68","ncbi","1073",NA
"69","ncbi","808","Malpighiales"
"70","ncbi","2302","Asterales"
"71","ncbi","620","Gentianales"
"72","ncbi","940","Sapindales"
"73","ncbi","368","Gentianales"
"74","ncbi","198","Gentianales"
"75","ncbi","685",NA
"76","ncbi","1786",NA
"77","ncbi","2104","Solanales"
"78","ncbi","245",NA
"79","ncbi","2468","Sapindales"
"80","ncbi","2757",NA
"81","ncbi","1964","Caryophyllales"
"82","ncbi","930","Lamiales"
"83","ncbi","2630","Fabales"
"84","ncbi","741","Rosales"
"85","ncbi","2597",NA
"86","ncbi","1566","Zygophyllales"
"87","ncbi","424","Lamiales"
"88","ncbi","232","Ranunculales"
"89","ncbi","1564","Zygophyllales"
"90","ncbi","15",NA
"91","ncbi","1307",NA
"92","ncbi","2903","Asterales"
"93","ncbi","3162","Fabales"
"94","ncbi","499","Brassicales"
"95","ncbi","2197",NA
"96","ncbi","1565","Zygophyllales"
"97","ncbi","2748","Fabales"
"98","ncbi","693",NA
"99","ncbi","1661","Lamiales"
"100","ncbi","577",NA
"101","ncbi","2499",NA
"102","ncbi","3039","Lamiales"
"103","ncbi","1452",NA
"104","ncbi","988","Rosales"
"105","ncbi","123",NA
"106","ncbi","598",NA
"107","ncbi","2277","Fabales"
"108","ncbi","338",NA
"109","ncbi","1856","Lamiales"
"110","ncbi","882",NA
"111","ncbi","1792","Cornales"
"112","ncbi","1584","Malvales"
"113","ncbi","2564",NA
"114","ncbi","2282","Asterales"
"115","ncbi","2002",NA
"116","ncbi","1713","Solanales"
"117","ncbi","2943","Caryophyllales"
"118","ncbi","1161","Ranunculales"
"119","ncbi","2117","Gentianales"
"120","ncbi","586","Caryophyllales"
"121","ncbi","1393","Fabales"
"122","ncbi","2945",NA
"123","ncbi","1056",NA
"124","ncbi","1527","Lamiales"
"125","ncbi","3062","Lamiales"
"126","ncbi","1053",NA
"127","ncbi","403","Caryophyllales"
